method,topology,tour_length,runtime,seed
Heuristic,0,5.911038258478959,0.1779029369354248,12345
SA,0,24.443759825092805,0.43739843368530273,12345
Heuristic,1,6.798196142502645,0.27400636672973633,12346
SA,1,24.159351324387753,0.3879265785217285,12346
Heuristic,2,5.6550348876366865,0.41971325874328613,12347
SA,2,24.199607747067706,0.5384862422943115,12347
Heuristic,3,5.510810362669562,0.30034518241882324,12348
SA,3,25.259203449081447,0.4636857509613037,12348
Heuristic,4,6.253384054663908,0.29119157791137695,12349
SA,4,24.824511342243976,0.44965624809265137,12349
Heuristic,5,5.7990068089546485,0.2500004768371582,12350
SA,5,24.032312504404725,0.47005748748779297,12350
Heuristic,6,6.938938486284624,0.21366500854492188,12351
SA,6,25.18018825870569,0.4883995056152344,12351
Heuristic,7,7.044675874400333,0.35936760902404785,12352
SA,7,24.06191420957801,0.48432302474975586,12352
Heuristic,8,7.489350512553812,0.40668487548828125,12353
SA,8,23.81608830560275,0.39606142044067383,12353
Heuristic,9,7.052806786886634,0.3950676918029785,12354
SA,9,24.43443971804252,0.8942935466766357,12354
Heuristic,10,5.932142423765478,0.2919352054595947,12355
SA,10,26.29680900592997,0.38242459297180176,12355
Heuristic,11,6.084955773925843,0.3439290523529053,12356
SA,11,25.579118409038074,0.468735933303833,12356
Heuristic,12,6.967516151030822,0.26558566093444824,12357
SA,12,25.681236475187152,0.34374499320983887,12357
Heuristic,13,6.884289164555026,0.26560401916503906,12358
SA,13,25.762220390561605,0.4530923366546631,12358
Heuristic,14,6.122950911821505,0.1874690055847168,12359
SA,14,28.366372917279545,0.4687161445617676,12359
Heuristic,15,6.910793440184011,0.29685378074645996,12360
SA,15,23.813047147977635,0.4688704013824463,12360
Heuristic,16,6.274483880793191,0.28123021125793457,12361
SA,16,24.961446707569998,0.5162186622619629,12361
Heuristic,17,6.701080190524046,0.19935178756713867,12362
SA,17,26.670563897482705,0.39465999603271484,12362
Heuristic,18,6.657263169419671,0.29012441635131836,12363
SA,18,25.841817800143787,0.3310563564300537,12363
Heuristic,19,6.208647835790665,0.28819870948791504,12364
SA,19,26.660668503741864,0.714261531829834,12364
Heuristic,20,6.831788896926301,0.16972708702087402,12365
SA,20,24.29441498700739,0.4530923366546631,12365
Heuristic,21,5.85422692041032,0.49996352195739746,12366
SA,21,20.830401805926,0.34372711181640625,12366
Heuristic,22,6.181168853029027,0.2656242847442627,12367
SA,22,29.878707216287392,0.4218423366546631,12367
Heuristic,23,7.009351921487618,0.2968556880950928,12368
SA,23,27.25455728310689,0.3593482971191406,12368
Heuristic,24,6.840055444719776,0.34372472763061523,12369
SA,24,28.88870282092131,0.3280816078186035,12369
Heuristic,25,6.49818775752754,0.2000737190246582,12370
SA,25,24.414025142153474,0.34679627418518066,12370
Heuristic,26,6.760328940461121,0.274578332901001,12371
SA,26,25.966364843330155,0.5209434032440186,12371
Heuristic,27,6.27494269688812,0.35338878631591797,12372
SA,27,25.216562471584623,0.33187270164489746,12372
Heuristic,28,6.509670759185278,0.3797435760498047,12373
SA,28,25.58919905583582,0.5459287166595459,12373
Heuristic,29,8.031727391137437,0.29775333404541016,12374
SA,29,24.253669295970774,0.47162461280822754,12374
